episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
165,17.949204,684,1.194046,2,3,0.666667,0,1,-0.000292,0.000000,0.021227,0.000190,-0.007310,0.014620,-0.002193,0.000000
166,26.528417,684,1.804976,6,7,0.857143,0,1,-0.000292,0.000000,0.005609,0.000975,-0.007310,0.043860,-0.004057,0.000000
167,104.578615,526,56.483760,3,3,1.000000,1,1,-0.000297,-0.094582,0.038353,-0.000810,0.000000,0.028517,-0.000499,0.228137
168,-9.722932,681,2.257646,5,6,0.833333,0,1,-0.000294,-0.066446,0.022028,0.001892,-0.007342,0.036711,-0.000826,0.000000
169,21.217574,686,0.950519,3,4,0.750000,0,1,-0.000292,-0.001093,0.017666,0.001219,-0.007289,0.021866,-0.001148,0.000000
170,-12.285393,684,1.222324,3,4,0.750000,0,1,-0.000292,-0.042398,0.012302,-0.000713,-0.007310,0.021930,-0.001480,0.000000
171,-29.994316,683,1.447990,2,3,0.666667,0,1,-0.000293,-0.084187,0.036294,-0.000524,-0.007321,0.014641,-0.002526,0.000000
172,-19.374146,686,0.439148,0,1,0.000000,0,0,-0.000292,-0.020044,0.000938,-0.001557,-0.007289,0.000000,0.000000,0.000000
173,111.786945,480,60.503938,2,2,1.000000,1,1,-0.000296,-0.047396,0.005634,0.004348,0.000000,0.020833,-0.000234,0.250000
174,-1.324733,687,1.230639,3,5,0.600000,0,1,-0.000291,-0.029840,0.013924,0.000214,-0.007278,0.021834,-0.000491,0.000000
175,-48.590026,687,1.551660,2,4,0.500000,0,1,-0.000291,-0.101528,0.023445,0.000478,-0.007278,0.014556,-0.000109,0.000000
176,-59.560692,687,2.222903,3,4,0.750000,0,1,-0.000291,-0.131368,0.029561,0.001337,-0.007278,0.021834,-0.000491,0.000000
177,32.022599,688,1.049291,3,8,0.375000,0,1,-0.000291,-0.007267,0.041080,-0.000858,-0.007267,0.021802,-0.000654,0.000000
178,1.301040,689,0.339033,1,3,0.333333,0,1,-0.000290,0.000000,0.006196,0.002350,-0.007257,0.007257,-0.006368,0.000000
179,-3.747444,689,0.656220,0,4,0.000000,0,0,-0.000290,-0.033019,0.036239,-0.001111,-0.007257,0.000000,0.000000,0.000000
180,-52.280517,687,1.368455,1,2,0.500000,0,1,-0.000291,-0.082969,0.009122,-0.000106,-0.007278,0.007278,-0.001856,0.000000
181,25.876895,686,0.712842,1,8,0.125000,0,1,-0.000292,-0.010933,0.049837,-0.000345,-0.007289,0.007289,-0.000547,0.000000
182,3.528689,687,1.873389,3,6,0.500000,0,1,-0.000291,-0.025473,0.018756,-0.001266,-0.007278,0.021834,-0.001146,0.000000
183,-68.812470,685,2.792729,5,6,0.833333,0,1,-0.000292,-0.127737,0.002315,0.001097,-0.007299,0.036496,-0.005036,0.000000
184,128.135542,23,1357.632896,3,3,1.000000,1,1,-0.000297,-0.434783,0.106815,0.034701,0.000000,0.652174,-0.004891,5.217391
185,15.320176,686,0.592703,2,5,0.400000,0,1,-0.000292,-0.011662,0.027442,-0.000226,-0.007289,0.014577,-0.000219,0.000000
186,3.128786,686,0.186638,0,4,0.000000,0,0,-0.000292,-0.006924,0.019959,-0.000894,-0.007289,0.000000,0.000000,0.000000
187,6.804170,688,0.548074,2,3,0.666667,0,1,-0.000291,0.000000,0.004599,0.000549,-0.007267,0.014535,-0.002235,0.000000
188,34.418469,687,0.796230,3,7,0.428571,0,1,-0.000291,0.000000,0.035255,0.000853,-0.007278,0.021834,-0.000273,0.000000
189,-48.746062,688,3.407759,4,8,0.500000,0,1,-0.000291,-0.124273,0.033817,0.000982,-0.007267,0.029070,-0.002889,0.000000
