episode,episode_reward,episode_length,loss,found_sources,total_sources,found_source_ratio,success,partial_success,battery,collision,concentration,distance,failure_done,found_bonus,found_source_stay,success_done
139,-55.713132,1000,0.889673,2,5,0.400000,0,1,-0.000290,-0.065250,0.000300,-0.000436,0.000000,0.010000,-0.000037,0.000000
140,-166.641601,1000,2.437909,1,6,0.166667,0,1,-0.000290,-0.163250,0.003309,0.000102,0.000000,0.005000,-0.011512,0.000000
141,72.233097,1000,1.086282,3,8,0.375000,0,1,-0.000290,-0.007500,0.064890,0.000246,0.000000,0.015000,-0.000112,0.000000
142,16.278785,1000,0.267629,1,5,0.200000,0,1,-0.000290,-0.001500,0.014491,-0.001009,0.000000,0.005000,-0.000412,0.000000
143,1.975534,1000,0.042988,0,1,0.000000,0,0,-0.000290,-0.000750,0.004174,-0.001158,0.000000,0.000000,0.000000,0.000000
144,9.199541,1000,0.239914,1,4,0.250000,0,1,-0.000290,-0.001250,0.009284,-0.000357,0.000000,0.005000,-0.003188,0.000000
145,-14.578162,1000,2.994232,4,7,0.571429,0,1,-0.000290,-0.081000,0.077702,0.000209,0.000000,0.020000,-0.031200,0.000000
146,2.520904,1000,0.208927,0,1,0.000000,0,0,-0.000291,-0.001250,0.005412,-0.001350,0.000000,0.000000,0.000000,0.000000
147,-156.282127,1000,1.811310,1,6,0.166667,0,1,-0.000291,-0.152750,0.003312,-0.000640,0.000000,0.005000,-0.010912,0.000000
148,-65.156574,1000,0.587093,0,3,0.000000,0,0,-0.000292,-0.065750,0.001681,-0.000796,0.000000,0.000000,0.000000,0.000000
149,47.655938,1000,1.123961,2,6,0.333333,0,1,-0.000293,-0.039750,0.079423,-0.000861,0.000000,0.010000,-0.000862,0.000000
150,-21.077374,1000,0.927484,2,5,0.400000,0,1,-0.000294,-0.031000,0.001259,-0.000818,0.000000,0.010000,-0.000225,0.000000
151,-183.456472,1000,3.711115,3,7,0.428571,0,1,-0.000290,-0.195500,0.001266,0.000942,0.000000,0.015000,-0.004875,0.000000
152,114.093659,871,34.370649,3,3,1.000000,1,1,-0.000294,-0.027842,0.006227,0.001566,0.000000,0.017222,-0.003660,0.137773
153,26.261174,745,43.473292,4,4,1.000000,1,1,-0.000293,-0.206376,0.055532,0.002394,0.000000,0.026846,-0.003926,0.161074
154,-4.322366,1000,0.861320,2,3,0.666667,0,1,-0.000293,-0.009250,0.004486,-0.000153,0.000000,0.010000,-0.009112,0.000000
155,125.055022,1,7717.514618,1,1,1.000000,1,1,-0.000329,0.000000,0.028945,0.026405,0.000000,5.000000,0.000000,120.000000
156,53.038799,1000,1.175599,5,6,0.833333,0,1,-0.000293,-0.022000,0.052627,0.000780,0.000000,0.025000,-0.003075,0.000000
157,63.836149,1000,1.090170,5,7,0.714286,0,1,-0.000293,0.000000,0.043482,0.000934,0.000000,0.025000,-0.005287,0.000000
158,-58.671809,1000,0.659969,0,1,0.000000,0,0,-0.000293,-0.057000,0.000000,-0.001379,0.000000,0.000000,0.000000,0.000000
159,-53.445058,1000,2.264524,5,6,0.833333,0,1,-0.000294,-0.095750,0.021007,0.000604,0.000000,0.025000,-0.004013,0.000000
160,23.449990,1000,0.897689,2,5,0.400000,0,1,-0.000292,-0.003000,0.025531,-0.000464,0.000000,0.010000,-0.008325,0.000000
161,8.915514,1000,0.274981,1,7,0.142857,0,1,-0.000292,0.000000,0.004295,0.000100,0.000000,0.005000,-0.000188,0.000000
162,22.888710,1000,0.744126,4,8,0.500000,0,1,-0.000292,0.000000,0.003525,0.000293,0.000000,0.020000,-0.000637,0.000000
163,-63.767411,1000,0.980419,1,3,0.333333,0,1,-0.000293,-0.110250,0.041937,-0.000087,0.000000,0.005000,-0.000075,0.000000
164,166.629790,848,35.524562,5,5,1.000000,1,1,-0.000293,-0.021226,0.046458,0.002205,0.000000,0.029481,-0.001636,0.141509
165,-376.203959,1000,9.196055,3,6,0.500000,0,1,-0.000292,-0.365500,0.014970,-0.000182,0.000000,0.015000,-0.040200,0.000000
166,-34.750269,1000,1.531812,3,4,0.750000,0,1,-0.000293,-0.057750,0.011209,-0.000516,0.000000,0.015000,-0.002400,0.000000
167,52.135690,1000,0.816852,4,7,0.571429,0,1,-0.000292,-0.000500,0.035040,0.000325,0.000000,0.020000,-0.002438,0.000000
168,6.068045,1000,0.714491,2,8,0.250000,0,1,-0.000294,-0.029000,0.030162,-0.000187,0.000000,0.010000,-0.004613,0.000000
169,122.953982,270,109.216736,2,2,1.000000,1,1,-0.000296,-0.032407,0.010030,-0.003006,0.000000,0.037037,-0.000417,0.444444
170,113.819001,704,40.462112,1,1,1.000000,1,1,-0.000293,-0.018821,0.003046,0.000186,0.000000,0.007102,0.000000,0.170455
171,200.538888,617,47.839754,4,4,1.000000,1,1,-0.000293,0.000000,0.101425,0.001970,0.000000,0.032415,-0.004984,0.194489
172,61.813433,1000,2.313013,3,6,0.500000,0,1,-0.000295,-0.028250,0.075899,-0.000091,0.000000,0.015000,-0.000450,0.000000
173,23.039428,1000,0.619058,1,3,0.333333,0,1,-0.000293,0.000000,0.018792,-0.000309,0.000000,0.005000,-0.000150,0.000000
174,44.701143,1000,1.081327,4,7,0.571429,0,1,-0.000293,0.000000,0.025299,0.000370,0.000000,0.020000,-0.000675,0.000000
175,142.111120,763,39.243698,6,6,1.000000,1,1,-0.000293,-0.041612,0.030500,0.002245,0.000000,0.039318,-0.001180,0.157274
176,133.782218,18,1761.092155,3,3,1.000000,1,1,-0.000303,-0.097222,0.018770,0.013185,0.000000,0.833333,-0.002083,6.666667
177,-108.538684,1000,3.086448,0,1,0.000000,0,0,-0.000291,-0.106250,0.000000,-0.001997,0.000000,0.000000,0.000000,0.000000
178,146.126726,345,83.657174,2,2,1.000000,1,1,-0.000294,-0.023913,0.070212,0.001065,0.000000,0.028986,-0.000326,0.347826
179,-218.185677,1000,6.739775,1,6,0.166667,0,1,-0.000291,-0.234750,0.011775,0.000155,0.000000,0.005000,-0.000075,0.000000
180,-320.610033,1000,6.855292,0,1,0.000000,0,0,-0.000290,-0.321250,0.001557,-0.000627,0.000000,0.000000,0.000000,0.000000
181,-92.660515,1000,1.557598,0,1,0.000000,0,0,-0.000291,-0.091250,0.000000,-0.001119,0.000000,0.000000,0.000000,0.000000
182,-23.991007,1000,0.303384,0,2,0.000000,0,0,-0.000294,-0.023250,0.000002,-0.000449,0.000000,0.000000,0.000000,0.000000
183,-61.108894,1000,1.640380,3,6,0.500000,0,1,-0.000292,-0.082250,0.008385,0.000897,0.000000,0.015000,-0.002850,0.000000
184,1.694761,1000,0.462118,1,3,0.333333,0,1,-0.000291,-0.003000,0.001128,-0.001067,0.000000,0.005000,-0.000075,0.000000
185,33.725668,1000,0.641190,3,5,0.600000,0,1,-0.000292,-0.000500,0.036333,0.000472,0.000000,0.015000,-0.017287,0.000000
186,-7.496548,1000,0.243411,1,2,0.500000,0,1,-0.000293,-0.011500,0.000324,-0.000990,0.000000,0.005000,-0.000037,0.000000
187,-7.797327,1000,0.072660,0,1,0.000000,0,0,-0.000292,-0.006250,0.000005,-0.001260,0.000000,0.000000,0.000000,0.000000
188,96.590842,1000,0.363332,0,7,0.000000,0,0,-0.000290,0.000000,0.097209,-0.000328,0.000000,0.000000,0.000000,0.000000
189,-44.794688,1000,0.653061,0,1,0.000000,0,0,-0.000290,-0.043000,0.000000,-0.001505,0.000000,0.000000,0.000000,0.000000
